,pubkey,alias,color,software,oldestchannel,openchannels,closedchannels,capacity,avg_duration,avg_open_fee,avg_close_fee,close_types
20,0236ae37b6cd39cac94c8e88a053808293375d12a9cee8f8a8952f5fe56d03c123,Fritz-180220,,lnd,622233,0,1,0,1271.0,11996.0,3240.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
21,02aee29098725ddb4273d0ea5ddeea88c0e0500fdd07ce1a391d5ffef5441b73fe,genesismining,,lnd,573749,0,3,0,26041.333333333332,4465.333333333333,2419.6666666666665,"{'force': 1, 'mutual': 2, 'penalty': 0}"
22,020d91678bfa7ee9d5e241b244e8eecf3822e6bcedd2426fe97d8de656622285ea,Blitzbank Pay,3399ff,lnd,617266,1,3,2600000,12180.5,1994.5,5250.666666666667,"{'force': 1, 'mutual': 2, 'penalty': 0}"
23,02181d2b6d3af11e7c170dd2e7b6becbae46b1d9ac0bb77d0bef18d2dc418c211d,dzdidi,9865df,lnd,627726,10,1,963528,15913.090909090908,3459.3636363636365,16109.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
24,02091e45e3fe8d18f2da5a0ff81873a52410128116e402fd872dde6ae21d535956,GivenLightning,3399ff,lnd,562217,6,16,6661861,28758.227272727272,4649.909090909091,7836.3125,"{'force': 11, 'mutual': 4, 'penalty': 0}"
25,039376f846cb4e137f3474baa7fbe74ec627745c7d5c54935b99fbb1b60a62c9b3,,,lnd,512545,5,0,167000,131897.0,3085.8,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
26,03cbc091a70ca17802ac4cbaa92754338e7582344702f2ddd44b6a9543fbb587b0,deadcatlambo,16a085,lnd,610351,15,3,19023566,19827.88888888889,4890.722222222223,8503.333333333334,"{'force': 1, 'mutual': 1, 'penalty': 0}"
27,022f58062b1deaad7fd76cd4ae41a4dcb49c2047e21ac4ece4e17c9bc68b0a3ef0,stageymcstageface,8865df,lnd,606381,3,9,746759,9926.666666666666,1901.1666666666667,1369.7777777777778,"{'force': 2, 'mutual': 7, 'penalty': 0}"
28,0224ad133dae522f2708e6b653bb9b38f0951c3341c75356114e6d1e4210373b41,firezoo,3399ff,lnd,567395,4,31,2662237,20678.571428571428,5291.742857142857,2892.3225806451615,"{'force': 1, 'mutual': 30, 'penalty': 0}"
29,021ad379f92def6270705e8c20861e62e3757cbf6ef8bdbec8ed84a9d828ea1db7,,,lnd,604525,1,0,50000,40710.0,4101.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
30,03ce15213fc42f04132edc0acb73d5830371970bebd7e25ba4a3ca2552d1ae6fdf,BIZARREGENESIS-,,lnd,516116,80,5,3633097,122828.07058823529,1508.4,2330.2,"{'force': 4, 'mutual': 1, 'penalty': 0}"
31,02fdbd5531218ab77187a63f7b67522a4a90b4bcfd3fead35155ebf628e30a969c,satoshijunior,,lnd,593218,0,30,0,9592.6,5877.666666666667,3969.4666666666667,"{'force': 6, 'mutual': 24, 'penalty': 0}"
32,0261fe8aeb3ee5d5c5fd51aa47f6c5a7a7cf5689dd877b8df25b3d05ec8f0a439f,HEAVEN,891aff,lnd,518813,5,0,138048,116398.4,1801.6,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
33,0327f763c849bfd218910e41eef74f5a737989358ab3565f185e1a61bb7df445b8,wallsat,3399ff,lnd,607067,16,4,10467000,7684.35,7742.8,9659.25,"{'force': 0, 'mutual': 3, 'penalty': 0}"
34,03587e75c5928c0bdaae3b100f3edf7211bfd900d08a93f391e7d20fe062eeb37c,,,lnd,510223,4,0,8600,129998.0,357.5,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
35,0336b05c7bc938683800f057322ed4825a4765205480df6b28a2293c953973245f,,,lnd,542101,4,0,800000,103127.75,1728.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
36,0233911d5a5eb18ea427df2f0634286647d67f61b31db4ddac8eafd68c8acdb9fd,BankCFO_Node,3399ff,lnd,562536,4,2,1914788,58604.833333333336,3043.6666666666665,2193.0,"{'force': 2, 'mutual': 0, 'penalty': 0}"
37,02f3c9faf45c22821fab7884f64e2381bab40d928f03bc362706b03ec35b8fcc7d,NovumX.com,ff0000,lnd,533183,2,0,300000,112035.0,154.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
38,02485dfb24fba5a0e1b991f3f3164c695ce3c8681b9a92b8061703c95130f82a30,HelloWorld,,lnd,590005,0,5,0,8551.6,1394.4,3334.8,"{'force': 2, 'mutual': 3, 'penalty': 0}"
39,03760e053c5254c6f36ddbfdd2f5604714a48a7f0c6bb5bdf047c942a596395972,03760e053c5254c6f36d,,lnd,582030,0,2,0,9971.0,4176.0,4382.0,"{'force': 0, 'mutual': 2, 'penalty': 0}"
40,02e7eb95d050a2edb3d4cb1dff5a66e702295d6d8e06b2bc3d8688436300226bf8,02e7eb95d050a2edb3d4,3399ff,lnd,558932,5,1,4250000,81998.16666666667,978.3333333333334,2583.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
41,03022f60962c38bace770ab0c7b73445286e9dc251150f7b42ef6aaab533460126,,,lnd,585859,0,1,0,217.0,15714.0,8810.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
42,02023587eae91eee2cd6c220caf6f4e89bb50496970c3705c2b07cc7754585ac7d,,,lnd,515397,3,0,70000,129818.33333333333,868.3333333333334,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
43,03751c375e65e3de9f91a4929c10827607a0b0d8df4cdc044fbeb70f0dbf79dd60,TurnedOnDigital,3399ff,c-lightning,588882,7,9,783337,24237.8125,2703.8125,2458.777777777778,"{'force': 5, 'mutual': 4, 'penalty': 0}"
44,03ec127a04ac464577bdba9637ca7c8edcd0e27c4ffeef5094a10ad69eeae76800,,,lnd,534665,1,0,179035,110570.0,880.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
45,02e577b0b544c497e1ab1926c6056033aeed38edd628768b50f332ff7301e14f78,HippieWheel,ff007f,lnd,599074,3,0,1671659,45915.333333333336,177.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
46,0231b52d16f571e8379be20c2e102b5faf26519796c09cc0d116f9046d83246cd5,aslanadem,ff0000,lnd,516313,3,2,102600,85664.8,3145.2,2950.5,"{'force': 2, 'mutual': 0, 'penalty': 0}"
47,03182f0e1fd8bd4c63c3fec5727fe1d0392620d5df95317bdbac35c5087d937c0d,mynodebtc.com [myNode],68f442,lnd,641683,1,0,90000,3552.0,5346.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
48,02f7c38bc53854cda55ca45e95c222ba2fb9b051bb182a4bb05920773aae292b10,friendlyneighbourhoodnode,3399ff,lnd,631601,3,0,2510650,10514.666666666666,647.3333333333334,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
49,03d47e1782e1b63011b45053746bd4deea12bdaaa15f3f1c3b081a3f50194953bd,metacortex,3399ff,lnd,570536,2,17,5000000,40070.21052631579,10913.210526315788,14775.470588235294,"{'force': 2, 'mutual': 11, 'penalty': 0}"
50,02b2f2d5111516af96c720474ad8936a121b531bbb86e449ac68c20c94b7898fb0,Testouille,,lnd,608260,0,1,0,113.0,950.0,1548.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
51,022d6413cedd5d7717813e9a9bcd7379043b112daebfc46cf690287fa8587333ae,Satobank,68f442,lnd,577265,2,1,224700,57721.0,17218.333333333332,545.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
52,028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936,PenguinShooter,00ff00,lnd,563987,2,25,140000,20551.814814814814,2489.962962962963,2988.12,"{'force': 23, 'mutual': 2, 'penalty': 0}"
53,0321d16d43051b2217ccc88ca792e320678469e61182d4ee39b7b08f33349f7b89,YELLOWCALENDAR,0321d1,c-lightning,638884,4,1,3350000,5551.4,4552.0,1340.0,"{'force': 0, 'mutual': 0, 'penalty': 0}"
54,026bad933cb4918b7abb4c4b19fa39b9b242da12f6fd45c35c601bc695fe421daf,FASTR,,lnd,612437,2,13,7000000,3147.5333333333333,686.1333333333333,2531.0,"{'force': 0, 'mutual': 13, 'penalty': 0}"
55,0380bfc54de644f7d2ddd3de2471477822cbc8ecfda4c1635f2067bad2129cd5ee,rodimus,3399ff,lnd,554399,1,0,1000000,90836.0,3384.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
56,0350269d934f6797db5b072a0d6f7f5240c04c88a6b09e8debdaa443e86e440d86,,,lnd,512733,0,1,0,131845.0,338.0,1599.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
57,03fc9b2015d4641c85782b830be552dac7e01ef66e8e22f00eb71dfd8ec7ef2ef2,,,lnd,507568,1,0,3000,137667.0,475.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
58,03fa87695311cf210261b014009c3f40c1f0f1359f20b9b3892e3a174e67f32489,Sam's,3399ff,lnd,569341,5,1,367625,73287.16666666667,7261.833333333333,10137.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
59,03f51df0183b2083d678d867d7441ba7e8dbf1bfdd23729d702b81a8b128e3e876,Guybrush,68f442,lnd,628567,12,17,19551073,8295.103448275862,4499.241379310345,11651.882352941177,"{'force': 7, 'mutual': 9, 'penalty': 0}"
60,0279ad04d636e60aaac1b63d576ba6d099d26367f846dc1060b0b923947c922551,0279ad04d636e60aaac1,3399ff,lnd,564489,2,4,480000,35060.833333333336,1514.1666666666667,9556.0,"{'force': 0, 'mutual': 4, 'penalty': 0}"
61,034745a4188e25db811efae00ed6428ee83dd840fd6c6161db4865d5517b2ebfbf,034745a4188e25db811e,3399ff,lnd,556137,8,8,2531000,61631.6875,614.0,4850.25,"{'force': 4, 'mutual': 4, 'penalty': 0}"
62,02b3bb5d303ef69efa0ac549e524a856179c238169b7e8006f55f3fe9b0e5e5bf0,,,lnd,539471,2,1,3500000,85522.0,435.3333333333333,2353.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
63,02c1129d1788b698324cf22ac52928a031abc23389ce62c0c45a2a9457f0e401e0,MaLNDnode,3399ff,lnd,555149,4,5,1773700,46726.444444444445,1160.6666666666667,6312.0,"{'force': 1, 'mutual': 4, 'penalty': 0}"
64,0362475f2ecf2f4cd9deb1bd6f0474ac7b133b7baebce8cc7354239b329e75f26d,013-lnd-gar-nodl-it,000013,lnd,600047,1,15,1000000,4149.3125,728.625,4216.066666666667,"{'force': 5, 'mutual': 10, 'penalty': 0}"
65,02c66336883ad46065878bc48384ccc239713ce07a8d4f7db4a6c6c8348e3be34f,WaffleNode999,68f442,lnd,626161,1,0,218459,19074.0,3231.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
66,03592828ccf214457b17a4fd0fdb4172d72ec717d5149c0b640126352554cfa5c6,CoinCode.sh,3399ff,lnd,619546,4,12,2087751,11844.9375,10437.5625,6360.166666666667,"{'force': 4, 'mutual': 8, 'penalty': 0}"
67,03150312f77e05ed4d06b8c1258bd34997ec9f42dff10c23e0ac9ea4f79304efae,LightNightTix,,lnd,610046,0,6,0,7437.666666666667,417.5,4858.166666666667,"{'force': 1, 'mutual': 5, 'penalty': 0}"
68,0313a13913428e083a4498ee4da1bf7277046ec65a0a3df7a96473ea5b54fea066,ln1.public.money,3399ff,lnd,620175,0,11,0,12806.909090909092,6120.545454545455,5730.181818181818,"{'force': 1, 'mutual': 6, 'penalty': 0}"
69,03d26a749c4ca795b5a0e23d76face238fe1115acdb30aa36bc65302cd9afedeb2,,,lnd,632659,0,1,0,116.0,645.0,12353.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
70,026accbb8af9ff3a6273b52f909fe7eef9676ec0e71609ba7a437745065eb9ee01,,,lnd,552194,0,9,0,19412.222222222223,394.55555555555554,2775.1111111111113,"{'force': 5, 'mutual': 4, 'penalty': 0}"
71,023f01496ec7e558a71b0c3b0c1ea018c0b52f15d1aaba9afebd0b10add66697ff,The514,3399ff,lnd,582380,1,16,1000000,13549.529411764706,4519.411764705882,2937.5625,"{'force': 2, 'mutual': 14, 'penalty': 0}"
72,02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003,bitBruno,,lnd,562519,0,1,0,45701.0,223.0,1555.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
73,030aed72353407f7577d0bf7663e28b9d60ef5533823f5f5e1ba6cf9e602ea2c68,KaiThePi4,68f442,lnd,578527,11,8,10998078,28638.105263157893,8792.052631578947,8915.625,"{'force': 5, 'mutual': 3, 'penalty': 0}"
74,028e577685f008325439568fdd220e8e2220c3b5c2828089039d9b3edd1a8ef6cd,kvan,3399ff,lnd,554115,2,7,3000000,42921.333333333336,2804.777777777778,1930.0,"{'force': 2, 'mutual': 5, 'penalty': 0}"
75,028a29151b53f059bcf1ac893516d58fe59e7280dc222af148bb2ff81f419c4e55,KitLNNode,3399ff,lnd,554407,5,0,22980546,79995.6,2857.6,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
76,03af270fbae0329d1a95a88f8aadc8489a260bf040e881acaec7b5645f1b60e292,VIOLETANALYST,03af27,c-lightning,637112,2,0,40000,8082.5,5000.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
77,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,gameb_1,ffdc00,lnd,637276,22,3,22759155,3780.88,10999.56,15565.666666666668,"{'force': 1, 'mutual': 1, 'penalty': 0}"
78,027c4afa4b27f2a4066ec6c1ec9eff4446397eec51f220c59ecc1534d1875c5364,mpi,68f442,lnd,623356,2,0,1273316,21863.5,7879.5,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
79,0297405400acead46cb5bf3c8f5abb01c2e7ecbc690d3343e00a1182fae6451f95,21btcclub2,,lnd,615688,0,8,0,4403.625,1912.625,2028.75,"{'force': 1, 'mutual': 7, 'penalty': 0}"
80,02d10282ee94243264665df763e2edba586487250902c1153f4afdebf96895544b,�Wrexler�,00e6ff,lnd,540688,1,0,50000,104547.0,196.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
81,0247debede9d4c4c3df2a2c117f1599a295a848fa94426e8f9bb03db4e7d238cf9,ANGRYTRINITY,,lnd,567888,2,1,150000,53803.666666666664,852.3333333333334,19155.0,"{'force': 1, 'mutual': 0, 'penalty': 0}"
82,02aa3a9d801ab8553cf260a227971c97590ec105a3e64631461148f47feacae206,,,lnd,588506,1,0,60000,56729.0,2704.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
83,0245cd8164efd4f0d02014e00a7606aeffa5016e8a9c72c78edeb7e3da731f720a,,,c-lightning,546720,1,0,100000,98515.0,154.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
84,038fe3c921a6bc389d28fc6a47e131b07adfb36450bfc1553d6445b182eb84c9bd,huseyinyaz,ff0000,lnd,514816,63,4,3585876,121058.64179104478,1224.1791044776119,2521.0,"{'force': 4, 'mutual': 0, 'penalty': 0}"
85,027af98624687e3f6a51683344852d9eb122a51f49477434fe7392d1cadcf50539,CasaSligo,3399ff,lnd,556450,6,3,5751906,59759.77777777778,9811.777777777777,7606.0,"{'force': 2, 'mutual': 1, 'penalty': 0}"
86,0301b3fdbc20c534bf7a4bb1c8c0e3d2da124f370af016f31865d657dc72bec888,0301b3fdbc20c534bf7a,3399ff,lnd,625345,3,8,22600000,11401.272727272726,3587.3636363636365,8644.875,"{'force': 5, 'mutual': 3, 'penalty': 0}"
87,02cc7387483ce150555fdbfe1aafa32dc01536326015b3ad2c65f445edf9d76932,LND_SG [LND],68f442,lnd,564972,0,4,0,36912.0,7153.75,12073.5,"{'force': 3, 'mutual': 1, 'penalty': 0}"
88,0265bd4aded6d3988758fb7df2ca47b4b9321afd446b0e6890af2bc861edaca1aa,,,lnd,558675,0,1,0,35606.0,1760.0,2221.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
89,031b8ac75e4b4cbfc292df1db65f407dc04d9281168b7f9f311b32ee6a0bb3651d,031b8ac75e4b4cbfc292,,lnd,589889,1,0,60000,55346.0,13000.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
90,024f912a9b27a495839ba6f1f6beef4366748067023497810d42a3b4975b02b80c,Chainium,3399ff,c-lightning,555397,4,3,1266594,64490.857142857145,1524.142857142857,14567.666666666668,"{'force': 3, 'mutual': 0, 'penalty': 0}"
91,02cc0690ceeccf834d695d31526a067cc4324062e6c19697248d111a50fb6e5967,,,lnd,561012,0,6,0,20143.5,1998.5,3648.1666666666665,"{'force': 6, 'mutual': 0, 'penalty': 0}"
92,03e1dde39c593fbd9c683f3ad218e201e28e978a0c2b4b155b1e5377e848de2281,nodl [LND],,lnd,594199,0,2,0,19678.0,1910.0,3467.0,"{'force': 0, 'mutual': 2, 'penalty': 0}"
93,03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49,Plasma⚡⚡⚡Release,3399ff,lnd,514060,60,58,76133375,59883.22881355932,4591.245762711865,7678.948275862069,"{'force': 30, 'mutual': 27, 'penalty': 0}"
94,02ffb98aee249a628c4f15d80d0d2735415b8314e25341ee70524ffd16ac55ee95,LND,,lnd,562208,0,2,0,16447.0,1339.5,12007.5,"{'force': 0, 'mutual': 2, 'penalty': 0}"
95,02b90365acebc10a9ff6a4deec63c638e553ea50e6138c638795e1699c09bc283f,GANDALF.LIGHTNING,,lnd,516805,7,1,436100,122792.875,1256.875,1935.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
96,038dee73d2b0587b56bf5d219f294e8f7f0d77eaa6795cdb231c370fe65d3e5e30,,,lnd,558058,1,1,273000,50663.0,315.5,14960.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
97,0237cb1016065a86c81e1412e2ecd33729a85275f4a93f833ffbebeac834b771fd,0237cb1016065a86c81e,,lnd,592346,1,15,5000000,7411.25,5279.5,2705.3333333333335,"{'force': 5, 'mutual': 10, 'penalty': 0}"
98,026871ba2db890ae47f3a4ee11e6bc10badc038e9eaed9b7983d990aee0ff3c1cf,ZH,3399ff,lnd,552654,6,7,525000,60737.38461538462,3310.923076923077,10879.57142857143,"{'force': 6, 'mutual': 0, 'penalty': 0}"
99,0233b8c36e768013e3df7850db9383f7f757e9014d38e6e1290ad4294051643aa7,Kor,,lnd,598950,0,12,0,816.3333333333334,4702.083333333333,2551.3333333333335,"{'force': 3, 'mutual': 9, 'penalty': 0}"
100,0337583cb7be7868354634fc6db86fa92b0e3f2de25e3b6a97775bd618aec80f1c,0337583cb7be78683546,8865df,lnd,644774,6,0,2046309,367.0,16253.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
101,034a1a1c49d1cbc31d706275fbf8e396d51466fcd113eb5335742ad3f99447cfc9,034a1a1c49d1cbc31d70,3399ff,lnd,625212,1,15,3564035,2544.625,5631.375,3989.6666666666665,"{'force': 1, 'mutual': 14, 'penalty': 0}"
102,03de67ca859242c0d5db2db50b5724bd2f351962147f92baa53a17fa8b6a0fa1ee,burty,3399ff,lnd,563887,3,4,2807000,45719.42857142857,3593.4285714285716,8057.75,"{'force': 3, 'mutual': 1, 'penalty': 0}"
103,036cfea974ffb015e849c77888edc22dd2a6cd407d12b1916868919a7c360d6228,,,c-lightning,516051,4,0,10000,127524.25,605.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
104,0238e663ae76f0e865af47b58d7b4f54efba704e0388198107b4e7d9727aa2612d,SatoshiPay2031,68f442,lnd,644956,1,0,100000,279.0,154.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
105,0365de8f0dca4d712e09c1548c63bf3a141723404a0a0aec4d5ed60ec9d80dc75f,,,lnd,508324,2,0,2284,134671.0,809.5,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
106,02ebbaf9a9c74e70938a22e6b22eae47680891d378bfdf54059804ddf02d86980b,MAVERIK,3399ff,lnd,640498,3,0,370979,4499.0,18266.333333333332,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
107,025a707994bb3569f9592cf2db0ad6bd818d56ad20fb72fc84676ee14274308786,ODDWAFFLE,025a70,lnd,580457,2,0,80000,64644.5,11434.5,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
108,027999f146eef2d9545379773729a24bf2057ccb170801807727f14ff08e9bdd16,fttfwsskufs,,eclair,565739,0,1,0,25881.0,2307.0,1936.0,"{'force': 0, 'mutual': 1, 'penalty': 0}"
109,0384f9af9ddbbcdecd3f0d99a003bdbc472793845d26fb5b1bc7ec9c44c23d7367,0384f9af9ddbbcdecd3f,3399ff,lnd,562618,9,10,13479120,48043.47368421053,3062.5263157894738,5915.1,"{'force': 6, 'mutual': 4, 'penalty': 0}"
110,031694203f83055bbf70b7930145a33309be0868df4aa70bf74eab615ea15d6f5f,piloupilou,,lnd,565267,1,0,250000,79968.0,272.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
111,038e56dc7371ba40db8fe21ff16c48cf2a5354f6df0b8eae5105799ee502bf7e8d,ProfessorMeow,,c-lightning,588507,0,13,0,13084.615384615385,912.9230769230769,1576.3846153846155,"{'force': 3, 'mutual': 10, 'penalty': 0}"
112,02dcfbffc2b1fa6b15198f0475761971174627bf5b8256393426c9aab0ecfccfee,nodl-lnd-s008-031,000000,lnd,628338,1,0,100000,16897.0,14664.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
113,022f6b949536dfc03a59f10f91311b5dcba632d87206da67ea0d1fc9da8f0721e2,nodl-lnd-s007-006,000000,lnd,627147,1,0,100000,18088.0,1226.0,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
114,02f7a68c3f0d0126d581cca72ef7fc2134252ffc98f848379d4db75fb965f8110f,n0d3z,68f442,lnd,634520,0,3,0,51.666666666666664,8369.666666666666,4276.333333333333,"{'force': 0, 'mutual': 3, 'penalty': 0}"
115,03380e440b835b0ebb67b1d19df1121724979053861f15232de295b97d16ee330e,Neptune,7295bd,lnd,618130,3,5,400000,10225.625,5768.75,8641.0,"{'force': 0, 'mutual': 5, 'penalty': 0}"
116,022c402216eee911831d0d21e8ff5d9f2ac664b7c24cb674cf9e90b00f99a3d7c3,022c402216eee911831d,3399ff,lnd,632957,2,5,13210987,3314.0,14529.42857142857,9848.8,"{'force': 1, 'mutual': 4, 'penalty': 0}"
117,03ef3b2dc64584c96e98cd43dd1e65f0d2a7ddfd4998b4c6efb4470fcf4979ee7f,CoreLN,ff3300,eclair,635569,8,0,11400000,9614.0,317.5,,"{'force': 0, 'mutual': 0, 'penalty': 0}"
118,026236be1b987eec202a95af4165cdc7137d0b61228e84c2cd8d360cc3b6b9e755,,,lnd,579757,0,3,0,10203.333333333334,20583.0,12992.0,"{'force': 2, 'mutual': 1, 'penalty': 0}"
119,02e2cc64e977cc7c5f5e7c7006d555a22ff0b3d6629988e5c444ea268a78abe569,GopherLightning,,lnd,558955,0,16,0,23212.6875,5442.8125,8635.625,"{'force': 8, 'mutual': 8, 'penalty': 0}"
